n	municipio	COREDE	area_ex	irriga	financ_veg	financ_pec	assist_veg	assis_pec	est_colheita	est_trator	est_adubo	colheita	trator	estab_rebanho	gado	pea	pop	valor_veg	receita_veg	valor_bov	ideese
42	gramado_xavier	alto_da_serra_do_botucarai	0.001746967797	0.00027100271	0.008953739015	0.0008624407072	0.0102909329	0.001161230388	0.001383604289	0.005420766071	0.007886318898	0.00133269364	0.003432172396	0.007083607333	0.0008139830723	0.006790758375	0.002506119388	0.002871897262	0.003234709032	0.0007112092445	0.909552778
43	guarani_das_missoes	missoes	0.002827911595	0.00108401084	0.01152379373	0.01147046141	0.01123105075	0.006502890173	0.01265997925	0.01131913268	0.01133120079	0.01082147236	0.008903955438	0.01000242273	0.002890017139	0.00855296386	0.004763454401	0.004093876861	0.0034529583	0.005269134815	0.9177066445
44	ibiaca	nordeste	0.003869396161	0.003387533875	0.009658431438	0.0035360069	0.008729665755	0.002090214699	0.01106883431	0.00909829019	0.007320374016	0.009542086465	0.008636696112	0.004995442956	0.001743441086	0.005710578026	0.002856893567	0.007485966567	0.006614386556	0.005686944659	1.182609834
45	ibiraiaras	nordeste	0.003005836857	0.01734417344	0.01206267617	0.01069426477	0.007118035154	0.005264244426	0.006848841231	0.01155793294	0.007541830709	0.005703928781	0.01035278231	0.00627602995	0.002435871589	0.006270944623	0.004396762738	0.006339681046	0.006181251149	0.006829837673	1.015452405
46	ibirapuita	alto_da_serra_do_botucarai	0.003120388202	0.001490514905	0.007295639197	0.003191030617	0.006329007672	0.002657927333	0.009131788309	0.005850606553	0.005437992126	0.008582547044	0.006062566815	0.003795613701	0.001566770713	0.004682010389	0.00244952389	0.004763396306	0.004295687223	0.002744307881	0.9212356338
47	ibiruba	alto_jacui	0.006228221195	0.005284552846	0.02064334273	0.01992238034	0.01440394849	0.009031791908	0.02642684192	0.02072786322	0.01449311024	0.02286902287	0.02197152985	0.01076385284	0.005139577978	0.01331239332	0.01200001415	0.01480633013	0.01163456222	0.01910666933	1.247621932
48	ijui	noroeste_colonial	0.006451703933	0.02357723577	0.02491294976	0.01664510565	0.01999429214	0.01081234517	0.03196125908	0.02679339001	0.01937746063	0.02841302841	0.02553029877	0.01631306314	0.004920364205	0.01761099498	0.04912607119	0.01270629923	0.01212425127	0.01398218724	1.25706896
49	irai	medio_alto_uruguai	0.001674267152	0.00162601626	0.006342231802	0.007072013799	0.008544999748	0.006167423617	0.003320650294	0.00601776674	0.007898622047	0.00255877179	0.003910425927	0.008318047047	0.002793403803	0.006687532949	0.004669718107	0.00226243556	0.001903441603	0.002981529257	0.8823662606
50	itacurubi	fronteira_oeste	0.01219338085	0.00298102981	0.001989719781	0.007330746011	0.003542229758	0.01380573906	0.002144586648	0.004202884707	0.004306102362	0.002079002079	0.003854160806	0.008421878425	0.01947293129	0.006997209227	0.00209403342	0.002173948117	0.001993803526	0.01061696435	0.7725261837
51	itapuca	alto_da_serra_do_botucarai	0.001922860311	0.00027100271	0.006342231802	0.004053471324	0.007000520422	0.002503096614	0.001314424075	0.005516286178	0.006213090551	0.001119462658	0.003629100321	0.004107107835	0.001027538363	0.004350214377	0.00135298612	0.001989652584	0.002038940236	0.007679103845	0.9574865973
52	itaqui	fronteira_oeste	0.03467378336	0.02059620596	0.004186702039	0.006209573092	0.002921080464	0.00779314616	0.009062608094	0.005826726526	0.003789370079	0.01887094195	0.01498058853	0.004637801544	0.03149007942	0.009091210724	0.02299899543	0.0356277452	0.04023043795	0.02166970642	0.8940941882
53	jacuizinho	alto_da_serra_do_botucarai	0.0033089555	0.004471544715	0.005927706848	0.003191030617	0.007604881898	0.00294178365	0.003943272224	0.003558123985	0.005573326772	0.005010928088	0.003544702639	0.006091440833	0.002071842599	0.00496588031	0.001571704138	0.005001139676	0.004933973401	0.002151595604	1.123144093
54	joia	noroeste_colonial	0.01266988096	0.006233062331	0.01239429614	0.0135403191	0.01584770091	0.01285094963	0.01646489104	0.01456681631	0.01505905512	0.01721840183	0.01498058853	0.0151824548	0.008652237678	0.01534003561	0.005116586726	0.0189161987	0.018954232	0.009908711847	0.8140789176
55	lagoao	alto_da_serra_do_botucarai	0.00307220011	0.0008130081301	0.01409384845	0.002501078051	0.01534406635	0.003715937242	0.001176063646	0.003987964467	0.01256151575	0.00133269364	0.002756990941	0.01190599799	0.002805139913	0.009976000088	0.003841419415	0.003469134194	0.003314008036	0.001709222089	0.7389023156
56	lagoa_dos_tres_cantos	alto_jacui	0.001356082258	0.0009485094851	0.007337091693	0.003449762829	0.004012288683	0.001445086705	0.005050155655	0.003987964467	0.003617125984	0.004424542886	0.004079221291	0.002111238016	0.0008062288567	0.002864505569	0.0009727351189	0.003043470505	0.002736258151	0.002388134655	1.15736351
57	lagoa_vermelha	nordeste	0.01015573004	0.005149051491	0.01102636379	0.01155670548	0.009250088136	0.01220582164	0.01141473539	0.01146241284	0.01075295276	0.01140785756	0.01142181961	0.01047543234	0.005825721278	0.01165341326	0.01677466974	0.01570989708	0.01610168044	0.009224113246	1.03634751
58	machadinho	nordeste	0.002960518528	0.0027100271	0.008539214061	0.01216041397	0.007739184448	0.008902766309	0.00325147008	0.006041646767	0.008870570866	0.002612079535	0.004008889889	0.007487396024	0.004068029201	0.005824863318	0.003324985497	0.003149442213	0.00334418768	0.005446084221	0.9759466526
59	macambara	fronteira_oeste	0.01880854166	0.009214092141	0.002238434754	0.003708495041	0.001460540232	0.003793352601	0.004842615012	0.003462603878	0.001783956693	0.008102777334	0.008130310021	0.002341974411	0.01747590639	0.004829475283	0.002832133037	0.01830439154	0.02167571009	0.009405156597	0.8115904897
60	manoel_viana	fronteira_oeste	0.01472833754	0.009891598916	0.003067484663	0.008451918931	0.00406265214	0.01037365813	0.005603597371	0.006184926927	0.006040846457	0.006077083	0.006484555224	0.007060533693	0.01927446528	0.006687532949	0.004352547505	0.00943112667	0.01008362947	0.0145582963	0.9146568006
61	mato_queimado	missoes	0.001031799119	0.00298102981	0.003067484663	0.004484691677	0.003642956671	0.00389657308	0.002282947077	0.003796924253	0.004269192913	0.001919078842	0.003024250267	0.003714855963	0.001407914078	0.003037776819	0.001049374856	0.001610755752	0.001299583229	0.002111565918	0.9488903232
62	maximiliano_de_almeida	nordeste	0.001849083506	0.0006775067751	0.009243906483	0.01017680034	0.006480098041	0.005393270025	0.003459010723	0.006471487248	0.007234251969	0.003091849246	0.004599673662	0.005526136665	0.002368179381	0.004999059911	0.002832133037	0.002329885024	0.002326753139	0.003436866931	0.912971417
63	mormaco	alto_da_serra_do_botucarai	0.001580282437	0.00027100271	0.004684131985	0.001293661061	0.004297681602	0.005470685384	0.00449671394	0.003199923584	0.004527559055	0.004104696412	0.003038316548	0.004557043805	0.0005951884463	0.004663577277	0.001760355797	0.002534934238	0.002219487075	0.001556381471	1.112500127
64	nao-me-toque	alto_jacui	0.003762019222	0.001761517615	0.01210412867	0.004053471324	0.006698339685	0.002374071016	0.01113801453	0.00799980896	0.00594242126	0.009702009702	0.008425701907	0.004095571015	0.001144480319	0.005791683717	0.01013118365	0.009108662793	0.007878568444	0.008715099402	1.268949646
65	nicolau_vergueiro	alto_da_serra_do_botucarai	0.001426989301	0.000135501355	0.003855082076	0.002759810263	0.002686051001	0.002064409579	0.005672777586	0.004011844493	0.002755905512	0.005010928088	0.003868227086	0.002249679853	0.001003018276	0.002263586125	0.001032867835	0.002649505931	0.002333302387	0.003000861775	1.168868418
66	nonoai	medio_alto_uruguai	0.002470147896	0.002032520325	0.004642679489	0.004225959465	0.005556768009	0.002632122213	0.004773434798	0.004322284841	0.004256889764	0.004317927395	0.003797895684	0.004487822887	0.001354472862	0.004475559537	0.007220052728	0.004221241919	0.004503493095	0.002372896082	0.9786950297
67	nova_ramada	noroeste_colonial	0.002820378469	0.00189701897	0.00845630907	0.006295817163	0.005691070559	0.004025598679	0.01030785195	0.007307288184	0.005880905512	0.008955701263	0.006400157542	0.004926222038	0.001746584687	0.004140076903	0.001424909565	0.006418075945	0.005833963993	0.004743972632	1.136359041
68	novo_cabrais	jacui_centro	0.002009790194	0.01436314363	0.00800033162	0.00120741699	0.01030772072	0.002322460776	0.006502940159	0.009480370618	0.008243110236	0.005170851325	0.007511393687	0.006852870938	0.001062117974	0.006776011886	0.002431837797	0.003459397022	0.003739532155	0.0009043069895	1.01424932
69	novo_tiradentes	medio_alto_uruguai	0.0007155273989	0.00027100271	0.003440557122	0.003104786546	0.004499135427	0.002451486375	0.001176063646	0.001958162193	0.004281496063	0.001279385895	0.001406628031	0.003957129178	0.0007353930486	0.0025069032	0.001363008239	0.0011957532	0.00116470412	0.001363511167	0.8346760611
70	paim_filho	nordeste	0.001748880972	0.001490514905	0.007378544188	0.0126778784	0.005153860359	0.00583195706	0.003113109651	0.006137166874	0.006496062992	0.002612079535	0.004332414336	0.005203105712	0.002133457177	0.005039612757	0.00245954601	0.002340759384	0.001872553933	0.006765699199	1.024697408
71	palmitinho	medio_alto_uruguai	0.001382268839	0.00433604336	0.004518322003	0.01285036654	0.00810851646	0.01101878613	0.001798685576	0.004680485242	0.01051919291	0.001492616877	0.002996117707	0.01038313778	0.002674994834	0.008597203328	0.004235229754	0.001572091359	0.0007196207596	0.006198232917	0.9650135196
72	panambi	noroeste_colonial	0.004541279259	0.005962059621	0.01023876637	0.01138421734	0.008847180486	0.008154417836	0.01376686268	0.01313401471	0.009670275591	0.01322032091	0.0125049232	0.008998719413	0.003470535447	0.008033150108	0.02463142182	0.009109515684	0.008126200825	0.008049605878	1.14775851
73	paraiso_do_sul	jacui_centro	0.00250482419	0.02059620596	0.01500580335	0.001034928849	0.0167374553	0.001470891825	0.005396056728	0.01588021779	0.01269685039	0.004531158377	0.01204073595	0.01124839927	0.001674072292	0.01027092988	0.004525871217	0.004728427774	0.005024069814	0.001128336764	0.9596271916
74	pejucara	noroeste_colonial	0.004806612698	0.00352303523	0.00609351683	0.002673566192	0.003491866302	0.00190957886	0.009131788309	0.004704365269	0.003235728346	0.009275547737	0.006920609914	0.002491953068	0.001683503095	0.0034469919	0.00238349581	0.01071515409	0.009651556106	0.006428631051	1.014986749
75	pinhal	medio_alto_uruguai	0.000734778721	0.00135501355	0.002528602222	0.008106942648	0.004348045059	0.004490090834	0.002006226219	0.002411882701	0.005044291339	0.00170584786	0.001702019918	0.004672412003	0.001438721368	0.003576023683	0.001542227316	0.000922046259	0.0006239486355	0.006629234362	0.9646983095
76	pinheirinho_do_vale	medio_alto_uruguai	0.001003579789	0.00162601626	0.003772177085	0.01009055627	0.006245068578	0.007535094963	0.0006918021446	0.003629764065	0.007394192913	0.0005330774562	0.002574129297	0.007452785565	0.001885112702	0.007303198882	0.002831543501	0.001484527882	0.0008473310973	0.01663620089	1.111357746
77	pirapo	missoes	0.002981324304	0.02032520325	0.002114077267	0.007072013799	0.004096227777	0.008902766309	0.002282947077	0.002005922247	0.005536417323	0.002132309825	0.001758285039	0.006875944577	0.004845546502	0.005548366642	0.001547533144	0.001726748929	0.001454552599	0.003317915081	0.7480739475
78	planalto	medio_alto_uruguai	0.001499331226	0.00325203252	0.008953739015	0.008020698577	0.0121711686	0.008051197358	0.001591144933	0.006137166874	0.01174950787	0.00133269364	0.003952624768	0.01097151559	0.002244111931	0.009408260246	0.006262645557	0.00189746928	0.001581200897	0.003410028846	0.8234535343
79	porto_xavier	missoes	0.002831020504	0.005691056911	0.005803349362	0.01069426477	0.01032450854	0.01243806771	0.001521964718	0.004226764734	0.01005167323	0.001386001386	0.003010183987	0.0127251122	0.005284183622	0.009644204077	0.006318651518	0.001186087102	0.0004523406349	0.003662488796	0.8891380872
80	quarai	fronteira_oeste	0.03544419496	0.01178861789	0.001823909799	0.01474773609	0.001678781876	0.02121180842	0.003320650294	0.006495367275	0.003666338583	0.004424542886	0.0072160018	0.01029084323	0.04865225444	0.01087553594	0.01387297141	0.007578576316	0.009161070526	0.02483910227	0.8208587805
81	quinze_de_novembro	alto_jacui	0.001827799435	0.001219512195	0.00518156193	0.01052177663	0.003559017577	0.005599710983	0.00698720166	0.00807144904	0.005167322835	0.006290313983	0.008875822877	0.004176328753	0.002456828928	0.004788922437	0.002255566403	0.003436226816	0.002497387602	0.01508846219	1.326020878
82	restinga_seca	jacui_centro	0.009707807978	0.05894308943	0.01620792572	0.003018542475	0.01497473433	0.006631915772	0.02255274991	0.01934282166	0.01170029528	0.0200970201	0.02056490182	0.01007164365	0.007344499683	0.01211055443	0.009618286949	0.01356444974	0.01497565229	0.005251166945	0.9680566578
83	rio_dos_indios	medio_alto_uruguai	0.002099470266	0.00027100271	0.005554634389	0.006554549375	0.005875736566	0.005341659785	0.004358353511	0.004680485242	0.006496062992	0.003944773176	0.003502503798	0.006126051293	0.002634547168	0.005555739887	0.001955492357	0.003234233794	0.003107706721	0.003477124058	0.8787037966
84	rodeio_bonito	medio_alto_uruguai	0.0008421556602	0.00460704607	0.00327474714	0.005605864597	0.005338526365	0.004722336912	0.001106883431	0.00198204222	0.005991633858	0.001172770404	0.001617622236	0.005145421613	0.001099841185	0.005054359247	0.003517763912	0.00140307679	0.001156207798	0.01578056636	1.09504522
